hom_2_9 saving%1:04:02:: save%2:41:02::
hom_258_14 gravity%1:19:00:: gravity%1:07:00::
hom_260_12 ghost%1:09:00:: ghost%1:18:01::
hom_261_11 fall%2:38:03:: fall%2:38:00::
hom_267_9 faculty%1:14:00:: faculty%1:09:00::
hom_268_12 see%2:31:01:: see%2:39:00::
hom_273_9 punch%1:04:00:: punch%2:35:00::
hom_274_14 dribble%1:04:00:: dribble%1:08:00::
hom_276_13 log%1:10:02:: log%1:27:01::
hom_277_7 putter%1:06:00:: putter%2:41:00::
hom_278_18 tip%1:15:00:: tip%1:10:00::
hom_281_15 bat%1:05:00:: bat%1:06:00::
hom_282_19 reservation%1:09:01:: reservation%1:09:00::
hom_285_19 sentence%1:10:00:: sentence%1:04:00::
hom_288_17 fan%1:18:01:: fan%1:06:00::
hom_289_7 seasoned%3:00:00:: seasoned%3:00:00:experienced:00
hom_293_18 impression%1:09:00:: impression%1:07:00::
hom_300_5 hedge%1:06:00:: hedge%1:10:00::
hom_301_14 chick%1:18:00:: chick%1:05:00::
hom_308_35 take%2:31:03:: take%2:41:04::
hom_313_12 expression%1:10:00:: expression%1:10:03::
hom_315_21 maroon%2:40:00:: maroon%2:30:00::
hom_317_20 dress%2:29:04:: dress%2:29:02::
hom_318_17 blow%1:04:01:: blow%1:04:02::
hom_320_7 scratch%1:18:00:: scratch%1:26:00::
hom_325_12 account%1:26:00:: account%1:10:04::
hom_327_13 square%1:15:00:: square%1:06:00::
hom_330_8 tie%1:06:04:: tie%1:26:00::
hom_338_9 take%1:04:00:: take%2:41:04::
hom_339_17 keep%2:42:00:: keep%2:41:03::
hom_341_10 arrangement%1:10:00:: arrangement%1:09:01::
hom_344_5 stuff%2:30:12:: stuff%1:27:00::
hom_348_19 accident%1:11:01:: accident%1:11:00::
hom_349_7 window%1:06:00:: window%1:06:02::
hom_350_11 plane%1:06:01:: plane%1:06:00::
hom_354_3 submerge%2:35:01:: submerge%2:35:00::
hom_355_15 stock%1:13:01:: stock%1:21:01::
hom_357_7 suck%2:34:04:: suck%2:38:00::
hom_358_8 stir%2:38:01:: stir%2:37:00::
hom_360_10 spark%2:43:00:: spark%2:36:00::
hom_361_7 dead%1:14:00:: dead%3:00:01::
hom_363_15 heel%1:06:00:: heel%1:06:03::
hom_367_12 terminal%1:06:02:: terminal%3:00:00:closing:00
hom_371_6 taper%2:30:00:: tapered%3:00:00:narrow:00
hom_373_21 rough%3:00:00:: rough%3:00:00:inexact:00
hom_374_11 tip%1:15:00:: tip%1:10:00::
hom_375_11 score%1:23:00:: score%2:33:00::
hom_380_20 step%1:04:00:: step%1:04:02::
hom_381_10 drive%1:06:02:: drive%1:06:01::
hom_386_9 arrange%2:32:04:: arrange%2:35:00::
hom_389_10 cut%1:04:05:: cut%1:04:01::
hom_391_10 long%3:00:01:: longer%4:02:00::
hom_392_5 bang%1:04:00:: bang%1:11:00::
hom_393_10 blow%2:30:08:: blow%2:39:05::
hom_394_10 loaded%3:00:00:full:00 load%2:35:01::
hom_395_8 take%2:40:00:: take%1:04:00::
hom_397_13 august%1:28:00:: august%3:00:00:noble:02
hom_399_13 draw%1:04:01:: draw%1:17:00::
hom_400_9 fly%2:38:00:: fly%2:38:02::
hom_401_13 add%2:30:00:: add%2:31:00::
hom_402_14 stink%2:42:00:: stink%1:09:00::
hom_406_6 element%1:27:00:: element%1:06:00::
hom_408_11 pas%1:04:00:: pass%2:38:00::
hom_409_10 exhaust%2:34:00:: exhaust%2:29:00::
hom_412_30 change%1:11:00:: change%2:30:00::
hom_414_13 contain%2:42:13:: contain%2:42:00::
hom_417_14 quarter%1:28:02:: quarter%1:23:01::
hom_421_16 dirt%1:27:01:: dirt%1:26:00::
hom_422_20 miss%2:42:02:: miss%2:35:00::
hom_424_16 knit%2:36:00:: knitting%1:04:00::
hom_426_7 book%1:06:00:: book%2:41:03::
hom_428_10 pan%1:06:01:: pan%1:18:00::
hom_430_16 slip%2:38:00:: slip%2:30:00::
hom_431_15 landslide%1:11:00:: landslide%1:11:01::
hom_432_20 deal%1:04:02:: deal%2:41:09::
hom_437_6 suspend%2:35:00:: suspend%2:30:00::
hom_440_9 ground%1:17:00:: ground%1:27:00::
hom_441_9 faculty%1:14:00:: faculty%1:09:00::
hom_443_10 potential%1:26:00:: potential%3:00:00::
hom_447_29 snap%2:35:01:: snap%2:30:01::
hom_451_17 flag%1:06:00:: flag%1:10:00::
hom_452_8 ruin%1:11:00:: ruin%1:06:00::
hom_454_11 cabinet%1:06:00:: cabinet%1:14:00::
hom_457_12 crow%2:32:02:: crow%2:32:00::
hom_468_10 span%2:42:00:: span%1:28:00::
hom_470_12 buffer%1:27:00:: buffer%1:06:03::
hom_473_23 dummy%1:18:00:: dummy%1:06:00::
hom_478_17 pay%1:21:01:: pay%2:40:00::
hom_479_11 change%1:11:00:: change%1:06:01::
hom_482_9 fortify%2:30:02:: fortify%2:33:00::
hom_485_15 connection%1:26:00:: connection%1:24:00::
hom_486_8 relative%1:18:00:: relative%1:05:00::
hom_487_21 dream%1:09:01:: dream%1:09:02::
hom_488_9 bore%2:37:00:: bored%3:00:00:uninterested:00
hom_490_12 story%1:06:00:: story%1:10:03::
hom_493_7 hash%1:13:00:: hash%2:35:00::
hom_495_11 hold%1:04:00:: hold%2:35:00::
hom_496_8 score%1:26:00:: score%1:14:00::
hom_497_12 impression%1:09:00:: impression%1:07:00::
hom_500_20 trigger%2:36:00:: trigger%2:33:00::
hom_502_10 staple%1:06:00:: staple%1:27:01::
hom_503_14 proof%1:09:00:: proof%1:10:01::
hom_509_5 joke%2:32:00:: joke%1:10:00::
hom_512_11 plant%2:35:00:: plant%2:35:01::
hom_513_16 come%2:30:01:: come%2:30:03::
hom_514_10 trace%1:10:00:: trace%2:31:00::
hom_516_10 charge%1:19:00:: charge%1:10:04::
hom_520_9 grip%1:04:00:: grip%1:06:02::
hom_522_17 file%2:32:02:: file%2:32:00::
hom_524_9 class%1:14:01:: class%1:14:03::
hom_525_6 flash%1:10:01:: flash%1:06:00::
hom_531_12 comb%2:35:00:: comb%2:35:01::
hom_540_5 cycle%1:11:01:: cycle%1:28:02::
hom_542_9 serve%2:34:00:: serve%2:41:01::
hom_543_14 late%4:02:00:: late%3:00:00::
hom_545_8 club%1:14:01:: club%1:14:00::
hom_546_34 sign%1:10:00:: sign%1:10:05::
hom_548_21 stir%2:38:01:: stir%2:39:00::
hom_554_14 fashion%1:09:00:: fashion%1:06:00::
hom_557_9 slice%1:17:00:: slice%1:21:00::
hom_558_9 precipitous%3:00:00:hurried:00 precipitous%3:00:00:steep:00
hom_563_6 fall%1:04:01:: fall%2:30:09::
hom_566_14 square%1:25:00:: square%1:15:00::
hom_568_8 interest%1:21:00:: interest%1:09:00::
hom_569_1 power%1:19:00:: power%1:07:02::
hom_570_8 shrink%2:38:00:: shrink%2:30:00::
hom_571_10 support%1:04:01:: support%2:35:00::
hom_574_11 connection%1:24:00:: connection%1:26:00::
hom_575_11 charge%2:35:00:: charge%2:33:00::
hom_578_14 flash%1:07:00:: flash%1:11:01::
hom_579_13 base%1:06:04:: base%1:06:02::
hom_581_11 weather%1:19:00:: weather%2:30:00::
hom_584_17 lie%1:10:00:: lie%2:32:00::
hom_588_8 steal%2:40:00:: steal%2:38:00::
hom_590_11 pop%1:10:00:: pop%1:11:00::
hom_591_10 flop%1:11:00:: flop%2:38:00::
hom_596_16 caliber%1:07:01:: caliber%1:07:00::
hom_597_6 stable%3:00:00:: stable%1:06:00::
hom_598_9 cold%3:00:01:: cold%1:26:00::
hom_599_12 kick%2:35:01:: kick%2:38:00::
hom_600_16 bench%1:06:00:: bench%1:14:00::
hom_604_19 thin%3:00:03:: thin%3:00:00:distributed:00
hom_605_6 melting%1:22:00:: melt%2:30:01::
hom_608_8 steal%2:40:00:: steal%2:38:00::
hom_614_18 steep%1:17:00:: steep%3:00:00::
hom_619_12 drive%1:06:01:: drive%1:04:03::
hom_621_6 drill%1:04:00:: drill%1:05:00::
hom_624_11 swell%1:11:00:: swell%2:30:00::
hom_627_1 backup%1:06:00:: backup%1:22:00::
hom_630_8 scale%1:24:00:: scale%2:42:00::
hom_635_18 degree%1:10:00:: degree%1:23:00::
hom_636_10 relief%1:06:00:: relief%1:26:00::
hom_637_11 frank%3:00:00:direct:02 frank%3:00:00:obvious:00
hom_638_11 expression%1:10:00:: expression%1:10:03::
hom_640_8 waste%1:27:00:: waste%1:04:00::
hom_642_12 carry%2:33:01:: carry%2:35:02::
hom_644_9 vision%1:09:03:: vision%1:09:01::
hom_646_15 present%3:00:02:: present%1:21:00::
hom_648_3 high%3:00:01:: high%1:07:00::
hom_650_14 still%4:02:01:: still%4:02:04::
hom_654_11 faculty%1:14:00:: faculty%1:09:00::
hom_655_14 afraid%3:00:00:: afraid%3:00:00:concerned:00
hom_658_12 suggestion%1:10:00:: suggestion%1:09:00::
hom_659_7 flexible%3:00:01:: flexible%3:00:02::
hom_660_12 check%2:31:00:: check%2:41:04::
hom_662_10 strain%2:33:00:: strain%2:35:01::
hom_664_10 hook%1:06:03:: hook%1:25:00::
hom_666_9 sweet%3:00:02:: sweet%3:00:00:fragrant:00
hom_667_10 note%2:39:00:: note%2:39:02::
hom_670_15 snap%2:35:01:: snap%2:30:01::
hom_671_6 striking%3:00:00:impressive:00 strike%2:35:02::
hom_672_10 top%1:15:01:: top%1:15:00::
hom_673_13 fell%1:27:00:: fall%2:38:00::
hom_675_16 point%2:32:00:: point%2:33:02::
hom_676_7 steal%2:40:00:: steal%2:38:00::
hom_677_6 log%1:27:01:: log%1:10:02::
hom_680_17 fertilize%2:29:00:: fertilize%2:30:01::
hom_681_7 degree%1:23:00:: degree%1:23:03::
hom_686_11 skip%2:42:00:: skip%2:31:01::
hom_687_11 state%1:15:01:: state%1:03:00::
hom_692_7 overboard%4:02:00:: overboard%4:02:01::
hom_693_44 bug%1:05:02:: bug%1:05:01::
hom_694_10 deep%4:02:00:: deep%3:00:00:low:03
hom_697_12 snap%1:06:00:: snap%1:04:01::
hom_699_17 rash%1:14:00:: rash%1:26:00::
hom_703_8 pressure%1:19:00:: pressure%1:07:00::
hom_704_11 rise%2:29:08:: rise%2:30:02::
hom_707_15 cure%2:29:00:: cure%2:30:00::
hom_710_24 pupil%1:18:00:: pupil%1:18:01::
hom_713_5 relative%3:00:00:: relative%1:18:00::
hom_714_14 frosty%3:00:01:cold:01 frosty%3:00:02:cold:01
hom_716_3 keep%2:40:00:: keep%2:42:00::
hom_718_10 tip%1:10:00:: tip%1:21:00::
hom_723_13 work%2:41:00:: work%2:42:10::
hom_726_15 hip%1:08:00:: hip%1:25:00::
hom_727_9 stage%1:28:00:: stage%1:06:00::
hom_728_9 pound%1:23:09:: pound%2:35:00::
hom_729_17 mop%2:35:01:: mop%2:29:00::
hom_736_9 scratch%1:18:00:: scratch%2:35:07::
hom_737_9 boot%1:06:00:: boot%1:04:00::
hom_740_10 shoot%1:04:00:: shoot%2:33:00::
hom_741_8 outlet%1:06:02:: outlet%1:06:01::
hom_745_14 thread%1:06:00:: thread%1:17:00::
hom_753_17 underhanded%3:00:00:crooked:02 underhanded%3:00:00::
hom_754_7 lie%2:42:03:: lie%2:32:00::
hom_756_16 draw%1:04:01:: draw%1:17:00::
hom_759_7 take%2:41:04:: take%1:21:00::
hom_763_9 bowl%2:33:00:: bowl%2:38:00::
hom_765_11 overall%1:06:00:: overall%3:00:00:gross:00
hom_767_13 smart%3:00:00:stylish:00 smart%3:00:00::
hom_768_14 pin%1:06:01:: pin%1:06:04::
hom_769_13 average%1:09:00:: average%3:00:00:ordinary:00
hom_771_16 weight%1:07:00:: weight%1:06:01::
hom_774_4 staff%1:14:01:: staff%1:27:00::
hom_775_23 joint%1:06:01:: joint%1:08:00::
hom_778_12 cool%1:07:01:: cool%2:30:00::
hom_779_12 connection%1:26:00:: connection%1:18:01::
hom_780_19 log%1:10:02:: log%1:27:01::
hom_787_33 change%2:30:00:: change%2:30:01::
hom_790_13 blow%2:29:00:: blow%2:43:00::
hom_791_18 cutting%1:04:01:: cut%2:35:00::
hom_793_7 go%2:38:00:: go%2:30:04::
hom_796_10 light%1:19:00:: light%3:00:00:undemanding:01
hom_799_11 dry%3:00:01:: dry%2:30:01::
hom_800_15 power%1:19:00:: power%1:07:00::
hom_806_3 charge%2:30:13:: charge%2:35:00::
hom_810_12 fret%1:06:00:: fret%1:26:00::
hom_811_17 marked%3:00:00:: marked%3:00:00:conspicuous:00
hom_812_8 draw%1:17:00:: draw%2:36:02::
hom_817_11 date%1:28:00:: date%1:14:00::
hom_819_15 find%2:40:00:: find%2:32:00::
hom_821_10 figure%1:21:00:: figure%1:23:00::
hom_825_13 turn%1:25:00:: turn%1:11:00::
hom_828_18 tight%3:00:01:: tight%4:02:00::
hom_829_17 bar%1:10:00:: bar%1:06:04::
hom_834_13 crown%1:06:01:: crown%1:10:01::
hom_835_19 clean%3:00:01:: clean%2:35:00::
hom_838_10 calling%1:04:00:: call%2:32:09::
hom_845_9 right%1:14:00:: right%4:02:00::
hom_847_26 drop%1:25:00:: drop%1:04:00::
hom_848_14 plate%1:06:02:: plate%1:23:00::
hom_851_8 sweep%2:42:03:: sweep%2:35:01::
hom_852_12 touch%1:11:00:: touch%1:04:00::
hom_854_10 run%1:11:02:: run%1:04:00::
hom_855_5 change%1:24:00:: change%1:04:00::
hom_857_15 shot%1:04:00:: shoot%2:41:00::
hom_860_8 sweet%3:00:02:pleasing:00 sweet%3:00:01::
hom_863_5 fallout%1:27:00:: fallout%1:19:00::
hom_864_25 solution%1:09:00:: solution%1:10:00::
hom_866_26 pick%1:09:00:: pick%1:06:01::
hom_868_16 entrance%2:37:00:: entrance%2:29:00::
hom_872_9 track%1:06:02:: track%1:06:01::
hom_873_10 spend%2:40:01:: spend%2:42:00::
hom_876_9 plug%2:30:02:: plug%2:35:01::
hom_877_9 uproot%2:41:00:: uproot%2:35:00::
hom_881_11 track%1:06:01:: track%1:06:02::
hom_886_12 work%2:41:00:: working%1:06:00::
hom_890_5 tire%2:29:00:: tire%2:29:01::
hom_891_9 scramble%2:35:02:: scramble%2:38:00::
hom_897_15 stick%2:35:00:: stick%2:38:00::
hom_903_7 boom%2:35:00:: booming%3:00:00:successful:00
hom_906_4 plant%1:06:01:: plant%1:03:00::
hom_908_19 shoot%1:04:00:: shoot%2:33:00::
hom_910_8 drone%1:05:00:: drone%2:32:00::
hom_911_15 garnish%2:36:00:: garnish%2:40:00::
hom_912_9 express%2:32:09:: express%2:32:01::
hom_917_15 fire%2:41:00:: fire%2:33:00::
hom_918_17 dry%3:00:01:: dry%2:30:00::
hom_923_6 issue%1:10:00:: issue%1:09:01::
hom_924_10 cut%1:04:01:: cut%1:04:05::
hom_938_8 split%2:41:03:: split%1:04:00::
hom_940_22 ball%1:06:01:: ball%1:08:01::
hom_941_28 change%1:11:00:: change%1:19:00::
hom_942_10 stroke%1:04:00:: stroke%1:04:04::
hom_943_9 leaf%1:20:00:: leaf%1:10:00::
hom_946_12 driving%1:04:00:: driving%1:04:03::
hom_949_17 knock%1:11:01:: knock%1:04:00::
hom_954_13 line%1:06:00:: line%1:10:02::
hom_956_8 leap%2:38:00:: leap%1:04:00::
hom_958_15 toast%1:13:00:: toast%1:13:01::
hom_959_15 frank%3:00:00:direct:02 frank%3:00:00:obvious:00
hom_960_13 spin%1:11:00:: spin%2:38:01::
hom_962_16 operate%2:35:03:: operate%2:35:00::
hom_964_13 conduct%1:04:00:: conduct%2:36:00::
hom_969_14 cook%2:36:00:: cook%2:36:01::
hom_970_8 exhaust%2:34:00:: exhaust%2:29:00::
hom_971_6 sign%1:10:05:: sign%1:10:06::
hom_972_8 trail%1:06:00:: trail%2:35:03::
hom_976_13 pull%1:19:00:: pull%2:35:00::
hom_977_11 stand%1:15:00:: stand%1:06:05::
hom_981_13 stunning%3:00:00:beautiful:00 stunning%3:00:00:impressive:00
hom_984_21 lock%2:35:00:: lock%2:30:00::
hom_985_11 sign%1:10:06:: sign%2:32:02::
hom_987_10 calf%1:05:00:: calf%1:08:00::
hom_990_11 plant%1:06:01:: plant%1:03:00::
hom_993_19 reservation%1:04:01:: reservation%1:15:00::
hom_996_16 throw%2:35:00:: throw%2:35:06::
hom_1002_11 point%1:23:01:: point%1:26:00::
hom_1004_12 stalk%2:38:03:: stalk%2:38:01::
hom_1006_11 faculty%1:14:00:: faculty%1:09:00::
hom_1007_15 look%2:39:00:: look%2:39:02::
hom_1008_8 knockout%1:04:00:: knockout%1:18:00::
hom_1010_9 reflective%3:00:00:thoughtful:00 reflective%3:00:00::
hom_1013_5 tap%1:11:01:: tap%2:35:00::
hom_1014_17 drift%1:22:01:: drift%1:17:00::
hom_1015_13 strain%1:19:00:: strain%1:14:00::
hom_1016_18 sentence%1:10:00:: sentence%1:04:00::
hom_1017_15 picket%1:06:01:: picket%1:18:00::
hom_1018_7 turn%1:25:00:: turn%2:30:00::
hom_1020_7 absorb%2:35:01:: absorb%2:35:00::
hom_1024_12 connection%1:26:00:: connection%1:06:00::
hom_1025_8 render%2:35:00:: render%2:36:00::
hom_1028_20 make%1:09:00:: make%2:41:00::
hom_1030_8 state%1:15:01:: state%1:03:00::
hom_1031_11 circulation%1:10:00:: circulation%1:23:00::
hom_1032_11 stern%3:00:00:nonindulgent:00 stern%3:00:00:implacable:00
hom_1034_16 dark%1:26:00:: dark%3:00:02::
hom_1039_9 fire%2:33:02:: fire%2:33:00::
hom_1040_8 develop%2:29:00:: develop%2:30:04::
hom_1043_10 counter%1:06:00:: counter%1:06:01::
hom_1044_12 strike%2:35:00:: strike%2:35:01::
hom_1045_12 net%1:06:00:: net%1:06:02::
hom_1050_8 love%1:12:00:: love%1:18:00::
hom_1053_2 come%2:42:00:: come%2:30:13::
hom_1056_43 look%1:07:00:: look%1:04:00::
hom_1058_9 delivery%1:04:04:: delivery%1:11:00::
hom_1060_15 sentence%1:10:00:: sentence%1:04:00::
hom_1061_13 spectacle%1:06:00:: spectacle%1:10:00::
hom_1062_9 withdrawal%1:04:02:: withdrawal%1:04:00::
hom_1063_13 take%2:40:06:: take%2:40:00::
hom_1065_14 play%1:04:04:: play%1:10:03::
hom_1066_15 breaking%1:04:00:: break%2:30:10::
hom_1067_16 serve%2:42:03:: serve%2:41:00::
hom_1071_18 standard%1:10:00:: standard%1:06:01::
hom_1073_17 volume%1:23:00:: volume%1:07:03::
hom_1074_12 hook%2:36:00:: hook%2:34:00::
hom_1078_8 monumental%3:01:00:: monumental%3:00:00:large:00
hom_1079_13 grain%1:20:00:: grain%1:13:00::
hom_1082_12 core%1:15:00:: core%1:06:00::
hom_1084_12 space%1:03:00:: space%1:15:00::
hom_1090_18 rage%1:12:00:: rage%1:26:00::
hom_1091_1 honor%1:26:00:: honor%1:10:00::
hom_1092_12 heart%1:15:00:: heart%1:08:00::
hom_1093_12 circulation%1:10:00:: circulation%1:23:00::
hom_1102_13 mole%1:05:00:: mole%1:18:00::
hom_1103_8 walk%2:38:00:: walk%2:38:02::
hom_1107_22 relief%1:12:00:: relief%1:06:00::
hom_1109_4 itch%2:39:00:: itch%2:39:01::
hom_1111_3 miss%2:42:01:: miss%2:37:00::
hom_1114_5 foundation%1:14:00:: foundation%1:09:01::
hom_1117_7 dead%1:14:00:: dead%3:00:01::
hom_1119_44 mature%3:00:01:: mature%2:30:00::
hom_1122_14 hive%1:06:00:: hive%1:17:00::
hom_1123_18 hard%3:00:02:: hard%3:00:00:strong:00
hom_1124_10 balance%1:26:00:: balance%1:24:00::
hom_1126_6 calf%1:05:00:: calf%1:08:00::
hom_1130_14 drill%1:04:00:: drill%2:31:00::
hom_1132_12 root%1:20:00:: root%1:18:00::
hom_1133_10 current%1:19:01:: current%3:00:00::
hom_1135_12 pool%1:06:00:: pool%1:04:00::
hom_1136_16 concentration%1:07:02:: concentration%1:07:03::
hom_1139_14 develop%2:30:04:: develop%2:29:00::
hom_1140_25 fault%1:04:00:: fault%1:17:00::
hom_1143_2 charge%2:32:01:: charge%2:30:13::
hom_1144_26 table%1:06:01:: table%1:14:00::
hom_1147_10 draw%1:17:00:: draw%2:36:00::
hom_1148_18 float%1:06:00:: float%1:21:00::
hom_1151_20 aggregate%1:14:00:: aggregate%1:27:00::
hom_1153_10 ring%1:25:00:: ring%1:06:00::
hom_1156_8 reception%1:10:00:: reception%1:04:00::
hom_1158_9 lay%2:35:01:: lay%2:35:02::
hom_1161_13 reservation%1:09:00:: reservation%1:04:01::
hom_1162_8 lumber%1:27:00:: lumber%2:35:00::
hom_1164_24 pan%1:06:01:: pan%1:06:00::
hom_1166_4 nursing%1:14:00:: nursing%1:04:01::
hom_1173_8 strain%1:14:00:: strain%1:19:00::
hom_1175_13 tune%2:30:00:: tune%2:30:01::
hom_1179_7 scale%2:42:00:: scale%1:24:03::
hom_1181_19 bust%1:04:00:: bust%1:11:00::
hom_1182_18 fit%1:04:00:: fit%1:26:00::
hom_1184_18 boot%1:06:00:: boot%1:04:00::
hom_1185_8 recover%2:40:00:: recover%2:35:00::
hom_1186_14 hit%2:35:03:: hit%2:33:03::
hom_1190_11 rich%3:00:00:: rich%3:00:00:unwholesome:00
hom_1191_15 bar%1:06:04:: bar%1:10:00::
hom_1192_9 entrance%2:37:00:: entranced%3:00:00:enchanted:00
hom_1194_16 straight%4:02:05:: straight%3:00:01::
hom_1195_13 world%1:14:01:: world%1:05:00::
hom_1198_10 hold%1:04:00:: hold%2:35:00::
hom_1200_7 roll%1:10:00:: roll%2:38:10::
hom_1201_6 wave%2:38:00:: wave%1:11:01::
hom_1209_18 target%1:18:00:: target%1:10:00::
